Time	EMG	Muscle Force
8.981	-0.0139213	0.276978
8.982	-0.046976	0.276978
8.983	-0.0764452	0.276978
8.984	-0.0850067	0.276978
8.985	-0.056193	0.276978
8.986	0.0167682	0.276978
8.987	0.0727164	0.276978
8.988	0.0964025	0.276978
8.989	0.0320165	0.276978
8.99	-0.0705892	0.276978
8.991	0.000898474	0.276978
8.992	0.0515168	0.276978
8.993	0.00791501	0.276978
8.994	0.00887285	0.276978
8.995	-0.0847514	0.276978
8.996	-0.154827	0.276978
8.997	-0.0426417	0.276978
8.998	0.140438	0.276978
8.999	0.139373	0.276978
9	0.0699539	0.276978
9.001	-0.0214226	0.276978
9.002	-0.139051	0.276978
9.003	-0.0945642	0.276978
9.004	0.0389104	0.276978
9.005	0.115769	0.276978
9.006	0.0360694	0.276978
9.007	-0.0476346	0.276978
9.008	-0.0556022	0.276978
9.009	-0.0336118	0.276978
9.01	-0.00326467	0.276978
9.011	0.0358093	0.276978
9.012	0.0204817	0.276978
9.013	-0.00471804	0.276978
9.014	0.0168908	0.276978
9.015	0.056889	0.276978
9.016	0.0162389	0.276978
9.017	-0.0261612	0.276978
9.018	-0.0827659	0.276978
9.019	-0.0236227	0.276978
9.02	0.0355393	0.276978
9.021	-0.0284082	0.276978
9.022	-0.00452109	0.276978
9.023	0.0107083	0.276978
9.024	0.0118138	0.276978
9.025	0.040133	0.277352
9.026	0.0602253	0.276978
9.027	0.0533964	0.276978
9.028	-0.0250738	0.276978
9.029	-0.122035	0.277352
9.03	-0.164884	0.276978
9.031	0.0443763	0.276978
9.032	0.176012	0.276978
9.033	0.0613652	0.276978
9.034	0.012955	0.276978
9.035	-0.0725041	0.276978
9.036	-0.190621	0.276978
9.037	-0.0548996	0.276978
9.038	0.205658	0.276978
9.039	0.200216	0.276978
9.04	-0.0483356	0.276978
9.041	-0.143564	0.276978
9.042	-0.0844273	0.276978
9.043	-0.00582574	0.276978
9.044	0.0600247	0.276978
9.045	0.0379294	0.277352
9.046	-0.0239066	0.276978
9.047	-0.0437592	0.276978
9.048	0.0539191	0.276978
9.049	0.0549029	0.276978
9.05	-9.6892e-05	0.276978
9.051	-0.00867776	0.276978
9.052	-0.0358667	0.276978
9.053	-0.0462991	0.276978
9.054	-0.00767926	0.276978
9.055	0.0465036	0.276978
9.056	-0.0371876	0.276978
9.057	-0.0461918	0.276978
9.058	0.0424611	0.276978
9.059	0.0908968	0.276978
9.06	0.0777863	0.276978
9.061	0.0263959	0.276978
9.062	-0.0649586	0.276978
9.063	-0.154071	0.276978
9.064	-0.137168	0.276978
9.065	-0.0111219	0.276978
9.066	0.0719919	0.276978
9.067	0.115047	0.276978
9.068	0.14278	0.276978
9.069	0.125151	0.276978
9.07	0.046173	0.276978
9.071	-0.139815	0.276978
9.072	-0.233381	0.276978
9.073	-0.18993	0.276978
9.074	-0.0687015	0.276978
9.075	0.0766912	0.276978
9.076	0.264879	0.276978
9.077	0.257338	0.276978
9.078	0.0082199	0.276978
9.079	-0.110313	0.276978
9.08	-0.148224	0.276978
9.081	-0.105268	0.276978
9.082	-0.0381556	0.276978
9.083	0.0476856	0.276978
9.084	0.0432264	0.276978
9.085	0.019728	0.276978
9.086	0.0147594	0.276978
9.087	0.0516069	0.276978
9.088	0.0547494	0.276978
9.089	-0.0398574	0.276978
9.09	-0.108549	0.276978
9.091	-0.037314	0.276978
9.092	0.0557368	0.276978
9.093	0.0977222	0.276978
9.094	0.041754	0.276978
9.095	-0.0604307	0.276978
9.096	-0.110206	0.276978
9.097	-0.0610817	0.276978
9.098	0.0670047	0.276978
9.099	0.0938228	0.276978
9.1	0.0248473	0.276978
9.101	-0.0330297	0.276978
9.102	-0.0770182	0.276978
9.103	0.0125643	0.276978
9.104	0.123491	0.276978
9.105	0.0686752	0.277352
9.106	-0.0964895	0.276978
9.107	-0.152747	0.276978
9.108	-0.0811259	0.277352
9.109	0.0661809	0.276978
9.11	0.15662	0.277352
9.111	0.0829813	0.277352
